id,customer,product,price,sale_date
86,Tracy Ramirez,Mouse,527.55,2024-11-12
87,William Herrera,Keyboard,673.03,2025-06-18
88,Wesley White,Monitor,401.83,2025-07-05
89,Brian Hamilton,Monitor,462.65,2025-01-15
90,Larry Dixon,Laptop,19.22,2024-05-09
91,Dawn Fletcher,Mouse,996.14,2023-08-03
92,Kimberly Ball,Keyboard,510.83,2025-01-25
93,Helen Jones,Tablet,882.06,2024-11-29
94,Erik Charles,Tablet,292.14,2025-01-09
95,Eric Ortiz,Printer,706.5,2024-05-22
96,Cameron Fisher,Printer,17.74,2025-06-19
97,Stephanie Gilbert,Monitor,932.44,2024-03-08
98,April Mitchell,Headphones,271.82,2024-06-11
99,Mary Marshall,Printer,163.89,2024-06-20
100,John Santana,Keyboard,720.44,2025-03-05
101,Bradley Robertson,Monitor,510.35,2024-11-06
102,Robert Potter,Smartphone,101.38,2024-12-05
103,Curtis Johnson,Monitor,53.65,2024-01-27
104,Samuel Jones,Headphones,640.74,2024-05-30
105,Cheyenne Horton,Camera,556.16,2024-07-28
106,Matthew Smith,Smartphone,120.76,2025-01-31
107,Ashley Coleman,Headphones,550.13,2023-12-08
108,Kelly Williams,Mouse,557.0,2024-01-31
109,Joyce Solis,Smartphone,315.18,2024-12-01
110,Linda Dodson DVM,Smartphone,899.94,2024-10-22
111,Kathy Rivas,Keyboard,670.26,2024-09-05
112,Natasha Wells,Printer,885.29,2024-02-07
113,Mark Cannon,Mouse,751.98,2024-08-17
114,Denise Jones,Keyboard,865.96,2024-02-26
115,Francisco Fernandez,Headphones,882.6,
116,Michael Mccarthy,Speaker,804.21,2023-09-17
117,Joshua Perry,Keyboard,274.14,2023-12-31
118,Taylor Silva,UNKNOWN_PRODUCT,388.72,2024-12-22
119,Pamela James,Keyboard,207.58,2023-08-06
120,Paul Castaneda,Tablet,312.14,2025-06-28
121,Paul Payne,Keyboard,230.69,2024-10-15
122,Daniel Graham,Speaker,334.98,2023-08-23
123,Michael Powell,Monitor,357.63,2023-11-30
124,Cameron Dean,Printer,337.84,
125,Justin Johnson,Headphones,584.78,2024-11-13
126,Joel Williams,Smartphone,117.32,2024-05-05
127,Gabriel Juarez,Tablet,442.03,2024-05-05
128,Sandra King,Laptop,391.34,2023-09-30
129,Joshua Cooke,Monitor,53.94,2024-04-13
130,Rachael Pearson,Printer,926.32,2025-02-03
131,Christina Smith,Keyboard,370.58,2023-11-21
132,Michael Elliott,Tablet,626.92,2024-01-08
133,Pamela Jackson,Laptop,722.56,2024-10-18
134,Ashley Weiss,Monitor,670.22,2025-07-07
135,Alexander Collins,Monitor,558.87,2024-12-09
136,Jennifer Espinoza,Speaker,680.54,2023-09-26
137,Lori Garcia,Mouse,573.41,2025-02-16
138,Lindsay Martinez,Smartphone,310.84,2025-07-21
139,Hannah Patterson,Mouse,610.59,2024-04-28
140,Gloria Atkinson,Camera,447.74,2025-03-25
141,Tyler Reid,Camera,795.8,2025-03-29
142,Jessica Gross,Headphones,662.26,2025-07-07
143,Robert Medina,Mouse,341.84,2024-07-20
144,Nicholas Adams,Keyboard,676.07,2025-04-15
145,Angelica Keith,UNKNOWN_PRODUCT,155.88,2024-01-27
146,Leonard Gray,Mouse,851.24,2023-08-22
147,Catherine Lewis,Speaker,887.28,2025-03-07
148,Spencer Haynes,Speaker,499.43,2024-02-19
149,Travis Miller,Smartphone,893.73,2025-01-09
150,Peter Vaughn DDS,Laptop,780.64,2024-07-25
151,Anna Walker,Printer,469.9,2024-12-19
152,Kevin Kennedy,Laptop,461.9,2024-08-24
153,Patrick Rivera,Printer,988.01,2024-12-27
154,David Martinez,Camera,616.53,2023-12-20
155,Joshua Gill,Printer,432.47,2023-12-15
156,John Hardy,Camera,898.24,2025-07-15
157,Diane Garcia,Camera,455.57,2023-12-21
158,Christopher Smith,Monitor,768.16,2024-08-26
159,William Tran,Keyboard,281.85,2024-12-23
160,Sean Henry,Monitor,242.15,2025-04-30
161,Julie Alexander,Printer,89.77,2023-12-14
162,Todd Woods,Speaker,697.01,2025-03-24
163,Benjamin Soto,Laptop,420.72,2023-09-10
164,Justin Torres,Camera,421.62,2025-07-28
165,Phillip Obrien,Speaker,395.58,2025-03-02
166,Joseph Hayes,Smartphone,858.16,2024-06-20
167,Wanda Torres,Speaker,482.21,2024-10-28
168,Natalie Meza,Monitor,755.94,2023-12-31
169,Matthew Moore,Speaker,542.84,2023-12-07
170,Aaron Hayes,Mouse,898.83,2024-10-09
171,David Mann,Monitor,441.48,
172,Michael Bradshaw,Speaker,726.94,2025-02-27
173,Mary Peck,Headphones,980.91,2024-06-07
174,Maria Kerr,Speaker,595.97,2025-03-28
175,Christopher Parker,Laptop,646.32,2025-01-30
176,Donna Martinez,Camera,189.91,2024-12-17
177,Terri Mason,Tablet,219.54,2024-07-27
178,Andrew Reynolds,Speaker,285.47,2024-03-24
179,Brandon Hayden,Speaker,259.75,2025-04-04
180,Tiffany Key,Smartphone,751.53,2024-12-05
181,Andrew Avila,Tablet,231.98,2024-07-10
182,Sydney White,Smartphone,756.69,2024-10-02
183,Katherine Davis,Keyboard,840.84,2024-04-12
184,Michael Hodge,Keyboard,134.96,2024-03-30
185,Donna Landry,Mouse,948.28,2025-03-18
186,Jordan Edwards,Monitor,769.23,2024-03-25
187,Jennifer Robertson,Mouse,964.1,2025-07-24
188,Kimberly Gutierrez,Headphones,965.07,2023-12-17
189,Peter Garrett,Smartphone,929.6,2025-02-07
190,Joshua Pennington,Speaker,402.69,2024-06-17
191,Barbara Dudley,Laptop,596.18,2024-10-20
192,Christopher Pierce,Keyboard,110.88,2024-09-08
193,Willie Durham,Mouse,807.47,2024-07-04
194,Ronnie Jimenez,Mouse,784.81,2025-01-06
195,Denise Davenport,Speaker,664.91,2025-07-18
196,Juan Reyes,Tablet,22.53,2025-06-05
197,Sherry Shields,Camera,114.48,2024-02-19
198,Jennifer Villa,Camera,710.24,2024-08-07
199,Diane Evans,Printer,965.82,2024-10-04
200,Mrs. Brittany Ryan MD,Printer,776.9,2024-09-08
201,Jordan Morris,Mouse,275.71,2023-12-17
202,Laura Hall,Laptop,286.14,2025-02-18
203,Patrick Thornton,Camera,574.15,2025-03-17
204,Matthew Hoover,Tablet,38.41,2025-07-18
205,Andrew Shaw MD,Headphones,492.67,2025-04-28
206,Jessica Fox,Monitor,346.94,2024-07-01
207,Jennifer Pena,Monitor,560.23,2023-11-22
208,Wayne Morgan,Keyboard,94.76,2024-12-20
209,Sarah Phelps,Camera,559.62,2025-04-21
210,Eugene Higgins,Camera,649.44,2025-02-07
211,Amanda Jones,Smartphone,102.12,2024-11-05
212,Yolanda Francis,Keyboard,313.14,2024-06-14
213,Mark Brennan,Camera,557.94,2024-06-21
214,Stephanie Williams,Printer,337.48,2025-03-05
215,James Thomas,Monitor,313.56,2024-08-24
216,Rebecca Jackson,Keyboard,322.39,2023-09-28
217,Lisa Allen,Headphones,199.63,2025-05-30
218,Joel King,Monitor,727.34,2024-02-04
219,Robert Santana,Printer,600.82,2024-12-09
220,Jeremy Reed,Keyboard,303.28,2024-10-04
221,Jessica Wright,Monitor,24.01,2025-04-10
222,James Webb,Monitor,55.06,2024-01-22
223,Laura Haney,Monitor,700.44,2024-03-04
224,Mary Hill,Camera,111.56,
225,Natasha Williams,Camera,483.93,2024-10-18
226,Tanner Mitchell DDS,Smartphone,259.95,2024-10-18
227,Mark Oliver,Laptop,823.89,2024-12-09
228,Mary Massey,Laptop,581.25,2024-11-03
229,Maria Parker,Headphones,157.71,2024-06-19
230,Morgan Davis,Monitor,94.33,2024-03-04
231,Casey Anderson,Printer,766.8,2024-08-30
232,Kiara Mcintyre,Mouse,233.43,2025-03-31
233,Roger Olson,Camera,909.42,2025-03-13
234,Gina Wilson,Mouse,990.13,2025-07-05
235,Vincent Dalton,Mouse,69.63,2025-01-12
236,Tracy Ballard,Laptop,948.11,2024-04-25
237,Alexis Herrera,Keyboard,272.0,2024-06-29
238,Megan Richards,Keyboard,182.08,2025-03-25
239,Ashley Hall,Smartphone,414.43,2023-08-20
240,Kristina Herman,Camera,298.35,2024-01-10
241,Rodney Blankenship,Monitor,705.96,2024-03-09
242,Charles Shah,Keyboard,924.67,2024-03-11
243,Brent Clay Jr.,Mouse,664.57,2024-06-28
244,Natalie Bautista,Speaker,123.63,2024-06-03
245,Brittany Perry,Headphones,909.33,2023-10-13
246,Jason Lynn Jr.,Laptop,69.04,2024-04-28
247,Trevor Foley,Mouse,751.47,2023-10-13
248,Kimberly Levine,Monitor,444.76,2024-04-20
249,Colton Martinez,Monitor,702.74,2025-04-12
250,Matthew May,Printer,544.58,2024-10-11
251,Richard Sanchez,Mouse,49.46,2023-11-02
252,Andrea Hubbard,Tablet,not_a_price,2023-12-31
253,Sergio Murphy,Mouse,591.25,
254,April Garrison,Mouse,49.83,2023-11-15
255,David Thompson,Camera,523.77,2024-11-27
256,Adrian Tyler,Monitor,189.67,2024-01-22
257,Christopher Williams,Camera,969.36,2025-01-25
258,Nichole Alvarez,Speaker,339.98,2025-02-20
259,Ashley Gordon,Headphones,336.51,2025-06-23
260,Richard Camacho,Monitor,665.96,2024-08-17
261,Victor Brown,Printer,46.33,2024-07-17
262,Michael Henry,Monitor,330.04,2025-05-27
263,Bobby Franklin,Speaker,866.26,2023-09-19
264,Mark Kelley,Smartphone,661.08,2024-03-26
265,Kerry Chavez DDS,Speaker,63.66,2023-10-13
266,Sarah Curtis,Mouse,758.88,2025-02-14
267,Cindy Hayes,Smartphone,211.52,2024-01-16
268,Jesse Perry,Monitor,443.73,2023-10-10
269,Maurice Brooks,Laptop,38.58,2023-11-21
270,Andrea Decker,Keyboard,712.68,2023-10-09
271,Parker Cain,Smartphone,556.73,2024-09-11
272,Kristina Rivera,Laptop,466.83,2023-10-30
273,Maurice Christensen,Headphones,503.39,2025-04-27
274,Tracy Burke,Printer,708.36,2024-04-15
275,Christy Douglas,Camera,980.44,2024-01-12
276,Ryan Richardson,Printer,153.2,2025-02-09
277,Renee Bruce,Mouse,513.16,2025-07-14
278,Lisa Day,Laptop,283.48,2023-08-21
279,Sandra Adams,Speaker,346.48,2023-12-11
280,Ellen Morgan,Monitor,822.34,2023-08-06
281,Kylie Morales,Monitor,839.1,2023-11-13
282,Amanda Reese,Camera,866.61,2024-01-06
283,Glen Wood,Camera,351.67,2025-01-10
284,Latoya Miller,Printer,383.44,2023-09-09
285,Luke Craig,Keyboard,980.97,2024-02-16
286,Karla Ramos,Speaker,241.23,2024-02-17
287,Ashley Jordan,Smartphone,324.99,2024-02-25
288,Katelyn Estrada,Speaker,392.22,2023-09-04
289,Kyle Smith,Headphones,500.38,
290,Chad Scott,Laptop,875.45,2024-03-28
291,Paul Thompson,Printer,not_a_price,2024-05-05
292,Kathryn Whitaker,Speaker,872.22,2025-03-13
293,Scott Williams,Laptop,474.8,2023-08-15
294,Shannon Johnston,Tablet,627.03,2024-09-24
295,Jennifer Wilson,Laptop,853.25,2023-08-17
296,Robert Montgomery,Printer,386.21,2025-04-01
297,,Camera,873.66,2024-01-26
298,Kelly Foster,Keyboard,634.85,2024-03-15
299,Gary Jackson,Keyboard,749.3,2024-08-09
300,Jordan Bullock,Laptop,762.77,2024-04-13
301,Sabrina Briggs,Laptop,449.24,2024-01-21
302,Craig Morrison,Smartphone,55.53,2025-02-07
303,Cassandra Mejia,Monitor,364.88,2024-07-28
304,Olivia Cole,Keyboard,535.85,2025-06-07
305,Madison Weber,Headphones,178.28,2025-04-24
306,Brittany Jones,Speaker,623.51,2024-06-20
307,Donald Brown,Mouse,151.69,2024-08-06
308,Jesse Brown,Monitor,464.97,2025-03-31
309,Sean Wyatt,Camera,902.2,2024-10-24
310,Julie Spencer,Headphones,83.12,2025-03-02
311,Joanna Pacheco,Mouse,306.16,2024-11-20
312,John Hernandez,Monitor,462.27,2023-09-16
313,Steven Cooper,Speaker,854.8,2025-01-05
314,Carrie Wright,Speaker,576.2,2024-06-17
315,Joseph Moore,Monitor,31.72,2024-04-30
316,Jason Morgan,Speaker,281.74,2024-10-12
317,Maria Jones,Smartphone,911.51,2023-10-10
318,Diane Cummings,Monitor,777.98,2024-11-23
319,Shelley Cook,Tablet,226.81,2024-09-30
320,Gregory Ponce,Monitor,680.99,2024-12-24
321,Kurt Hurley,Headphones,631.97,2024-03-15
322,Rickey Li,Smartphone,315.84,2024-12-03
323,Nancy Jennings,Mouse,371.21,2024-08-20
324,Jessica Cox,Monitor,333.45,2024-04-23
325,Daniel Meza,Keyboard,140.84,2024-07-22
326,Chad Jones,Tablet,535.54,2025-04-10
327,Randy Conley,Headphones,264.4,2025-05-08
328,George Miranda,Camera,967.71,2023-11-05
329,Christopher Guerra,Tablet,806.19,2025-02-15
330,Carol Kim,Laptop,149.35,2024-05-28
331,Cynthia Wallace,Speaker,967.6,2024-02-26
332,Joann Ferguson,Tablet,99.4,2024-03-15
333,Julie Conley,Monitor,541.21,2024-04-26
334,Victoria Murray,Monitor,588.71,2024-02-23
335,Joseph Burch,Tablet,117.26,2025-03-21
336,Brenda Wright,Smartphone,623.35,2024-11-12
337,Kristen Garcia,Tablet,916.1,2025-04-11
338,Dominique Hines,Laptop,639.05,2024-02-17
339,Brittany Kim,Monitor,652.75,2025-06-23
340,Jerry Bailey,Smartphone,946.8,2023-08-21
341,Jonathan Young,Camera,124.96,2025-07-28
342,Alfred Galvan,Printer,144.31,2025-04-06
343,Raven Taylor,Printer,424.94,2024-02-27
344,Melissa Taylor,Headphones,886.56,2024-12-29
345,Aaron Miller,Camera,619.5,2024-02-05
346,Kimberly Acosta,Monitor,42.39,2024-08-21
347,Dwayne Turner,Camera,450.25,2023-09-05
348,Riley Bryant,Tablet,108.36,2023-10-22
349,Linda Smith,Printer,902.68,2024-08-12
350,Charles Patterson,Smartphone,404.16,2024-10-24
351,Jason Beck,Laptop,949.52,2023-10-03
352,Andrea Fox,Laptop,666.14,2024-08-06
353,Kristen Myers DDS,Mouse,971.38,2024-11-08
354,Mrs. Alexis Kramer,Tablet,251.13,2024-04-10
355,Lori Ingram,Mouse,213.15,2025-01-20
356,Andrew Payne,Printer,215.09,2025-03-18
357,Richard Marshall,Keyboard,335.27,2024-12-22
358,Robin Brown,Mouse,12.81,2025-02-19
359,Edward Williams,Headphones,987.65,2023-12-25
360,Timothy Robertson,Headphones,118.83,2025-07-25
361,Dawn Mullins,Headphones,24.71,2023-12-19
362,Richard Glenn,Keyboard,592.96,
363,Jacob Preston,Smartphone,135.49,2025-01-26
364,Jasmine Beltran,Laptop,748.21,2024-07-29
365,Tim Stone PhD,Tablet,518.11,2025-01-14
366,Lance Short,Printer,229.33,2024-09-03
367,Bobby Guerrero,Printer,308.61,2024-03-13
368,Jessica Norris,Smartphone,70.22,2024-04-14
369,Sergio Gomez,Speaker,432.01,2025-07-31
370,William Gould,Camera,82.76,2023-09-25
371,Heidi Owen,Mouse,156.85,2024-12-10
372,Brenda Lawson,Mouse,636.75,2025-02-23
373,Austin Osborne,Tablet,387.1,2024-04-25
374,Keith Jacobs,Monitor,459.18,2024-12-10
375,Jacqueline Hines,Laptop,795.17,2024-09-24
376,Jennifer Banks,Printer,723.63,2024-01-31
377,Noah Porter,Camera,889.21,2024-05-10
378,Deborah Green,Camera,404.74,2024-06-23
379,Donna Hendricks DDS,Tablet,432.5,2023-10-30
380,Jodi Roach,Tablet,954.06,2024-06-22
381,Michael Bruce,Camera,76.46,2024-03-22
382,Austin Daniels,Laptop,437.56,2025-05-14
383,Michelle Ho,Tablet,813.65,2024-11-10
384,Katie Martinez,Mouse,957.06,2023-12-26
385,Richard Johnson,Laptop,416.7,2024-09-09
386,Robert Arnold,Speaker,869.41,2024-10-22
387,Eric Key,Monitor,604.41,2025-01-08
388,Patricia Morrow,Mouse,512.34,2023-09-24
389,Maria Cole,Camera,232.0,2024-12-11
390,Shawn Deleon,Printer,373.89,2024-11-11
391,Vincent Reynolds,Mouse,233.9,2025-05-28
392,Caleb Hernandez,Printer,974.8,2023-11-30
393,Michael Reed,Mouse,678.23,2025-06-19
394,Sarah King,Mouse,929.79,2024-11-08
395,Beth Turner,Monitor,38.66,2024-08-25
396,Caroline David,Monitor,922.32,2023-11-22
397,Michelle Jacobs,Headphones,871.16,2025-04-08
398,Samantha Johnson,Speaker,78.89,2023-09-04
399,Laura Curtis,Smartphone,100.84,2025-02-12
400,Mark Jimenez,Speaker,425.63,2024-11-02
401,Tyler Webb,Tablet,318.52,2025-03-12
402,Elizabeth Jones,Mouse,600.26,2023-09-14
403,John Harris,Headphones,165.84,2024-10-18
404,Nathan Gross,Laptop,279.38,2025-04-22
405,Bianca Wood,Camera,611.01,2024-09-15
406,John Adams,Keyboard,757.39,2024-01-30
407,Dylan Cruz,Speaker,119.78,2024-10-24
408,Sean Moore,Mouse,491.77,2024-03-28
409,Emily Hines,Smartphone,228.31,2024-07-31
410,Kathleen Parker,Smartphone,17.61,2023-08-18
411,Kathy Levy,Keyboard,769.68,2024-01-06
412,Anthony Simpson,UNKNOWN_PRODUCT,334.84,2025-05-07
413,Julie Herrera,Headphones,137.89,2025-04-12
414,Stephen Luna,Keyboard,505.26,2025-02-10
415,James Hudson,Tablet,81.35,2023-12-22
416,Angel Gordon,Smartphone,441.86,2025-02-10
417,William Becker,Laptop,863.49,2023-10-27
418,Jennifer Norton,Mouse,410.38,2024-04-05
419,Nicole Gonzalez,Monitor,124.02,
420,Amber Taylor,Headphones,803.31,2024-04-01
421,Jesus Obrien,Tablet,97.25,2024-08-12
422,Louis Martin,Keyboard,441.32,2025-07-26
423,Elizabeth Rogers,Laptop,401.81,2025-03-29
424,Michelle Evans,Tablet,229.36,2025-03-20
425,Michael Whitney,Laptop,515.38,2024-10-01
426,Molly Watts,Printer,201.96,2023-08-21
427,Walter Patton,Tablet,730.11,2025-02-19
428,Mikayla Silva,Headphones,243.91,2023-12-04
429,Lisa Randall,Keyboard,181.76,2023-11-18
430,Amanda Vaughan,Laptop,185.37,2023-10-21
431,Erik Hernandez,Camera,469.31,2024-12-18
432,Reginald Knapp,Mouse,454.42,2025-05-01
433,Amy Taylor,Mouse,646.56,2023-12-31
434,Matthew Fox,Tablet,865.6,2024-03-18
435,Thomas Peterson,Headphones,445.37,2024-04-16
436,Michelle Schneider,Monitor,798.37,2024-12-20
437,Cheryl Wright,Tablet,512.26,2024-09-12
438,William Evans,Camera,47.23,2024-02-29
439,Michael Stewart,Monitor,85.96,2024-04-12
440,Rebecca Hill,Laptop,618.86,2023-10-30
441,Jamie Baird,Camera,584.53,2025-03-22
442,Regina Roberts,Smartphone,455.24,2024-02-28
443,Hannah Ramos,Keyboard,328.31,2024-02-05
444,Dale Ryan,Headphones,958.15,2025-06-14
445,Breanna Gilbert,Tablet,982.56,2024-10-03
446,Michael Schmidt,Headphones,48.75,2024-11-10
447,Jason Love,Camera,528.83,2023-10-14
448,Abigail Pierce,Tablet,379.12,2025-06-11
449,Timothy Johns,Speaker,776.72,2024-07-16
450,Victor Morris,Smartphone,791.33,2024-11-16
451,Ann Andrews,Laptop,336.39,2024-08-27
452,Taylor Gentry,Speaker,291.31,2023-12-07
453,Casey Gillespie,Mouse,874.55,2025-07-30
454,Jon Zuniga,Mouse,666.98,2025-07-05
455,Sherri Smith,Monitor,968.02,2024-09-20
456,William Mitchell,Speaker,137.66,2025-07-25
457,Kathleen Mays,Laptop,316.49,2025-04-15
458,Corey Rodriguez,Tablet,815.05,2023-11-28
459,David Lopez,Printer,102.52,2025-01-21
460,Laura Todd,Printer,368.21,2023-12-08
461,Stephanie Wilcox,Headphones,951.66,2024-08-12
462,Michael Lopez,Camera,200.09,2023-11-12
463,David Green,Headphones,86.39,2024-01-21
464,Tiffany Turner,Laptop,512.61,2025-01-11
465,Matthew Schwartz,Printer,47.37,2023-09-16
466,Eric Sullivan,Mouse,139.74,2024-08-03
467,Michele Collins,Headphones,189.04,2023-10-26
468,Elizabeth Mendez,Mouse,810.95,2024-01-09
469,Christian Adkins,Camera,53.26,2024-10-17
470,Joshua Ruiz,Keyboard,969.89,2024-08-28
471,Colleen Wright,Camera,241.66,2025-02-03
472,Angela Griffin,Camera,904.93,2024-12-28
473,Justin Brown,Mouse,984.6,2024-09-05
474,Laura Hernandez,Monitor,780.34,2024-03-28
475,Audrey Harris,Speaker,966.61,2024-10-01
476,Jordan Stokes,Mouse,147.01,2024-06-28
477,Joyce Brown,Camera,875.38,2024-07-04
478,Miranda Foster,Laptop,714.29,2025-03-20
479,Laura Williams,Laptop,292.21,2024-04-09
480,Zachary Michael,Monitor,454.83,2023-09-21
481,Amanda Ortiz,Speaker,100.8,2025-02-14
482,Veronica Brewer,Camera,885.78,2024-06-04
483,Janet Kane DVM,Speaker,62.72,2024-05-02
484,Mary Ryan,Keyboard,392.3,2024-11-21
485,Christopher Medina,Keyboard,37.91,2024-08-22
486,Courtney Smith,Tablet,793.47,2023-08-18
487,Michael Stephens,Monitor,918.22,2024-08-24
488,Danielle Reed,Headphones,761.25,2024-02-19
489,Molly Rodriguez,Mouse,15.2,2025-03-15
490,Ralph Stephenson,Monitor,223.5,2023-08-13
491,Brian Johnson,Mouse,532.49,2024-10-11
492,Amber Yang,Monitor,245.26,2024-05-22
493,Daniel Shields,Keyboard,425.63,2023-09-12
494,Donna Cabrera,Camera,72.18,2025-01-17
495,Kyle Chambers,Camera,not_a_price,2024-03-23
496,Charles Keller,Headphones,298.36,
497,Antonio Fry,Keyboard,574.96,2025-05-06
498,Lori Simmons,Laptop,528.25,2024-07-29
499,Teresa Powers,Printer,548.64,2025-02-26
500,Jason Hernandez,Printer,558.61,2024-05-03
501,Kara Atkinson,Camera,53.1,2024-03-08
502,,Tablet,261.11,2024-09-16
503,Kristin Anderson,Tablet,248.71,2024-01-26
504,Matthew Nielsen,Laptop,773.79,2025-04-12
505,Nathaniel Lee,Tablet,142.08,2024-02-14
506,Lindsey Russo,Tablet,815.37,2023-12-17
507,Misty Hansen,Camera,981.01,2024-07-17
508,Felicia Krueger,Headphones,813.38,2023-08-13
509,Tonya Wilson,Camera,46.61,2025-08-01
510,David Munoz,Keyboard,886.93,2023-12-29
511,Kristen Rowe,Monitor,520.23,2024-05-06
512,Heather Green,Printer,not_a_price,2024-08-10
513,Brett Zavala MD,Monitor,363.4,2025-04-06
514,Jacqueline Gutierrez,Tablet,280.48,2024-09-16
515,Charles Green,Speaker,890.59,2025-06-15
516,Jennifer Hernandez,Speaker,345.65,2024-03-30
517,Roy Porter,Camera,373.67,2024-11-22
518,Dawn Underwood,Monitor,803.14,2025-07-08
519,Katherine Jackson,Laptop,436.3,2025-03-05
520,Nathan Freeman,Headphones,550.02,2025-06-02
521,Maria Brown,Laptop,334.64,2023-08-26
522,Theresa Barnett,Camera,606.6,2025-02-10
523,Ryan Hall,Camera,358.03,
524,Jonathan Brooks,Mouse,998.17,2024-10-26
525,Lisa Webb,Smartphone,84.29,2024-07-23
526,Juan Smith,Tablet,517.96,2024-08-23
527,William Smith,Headphones,953.26,2025-03-18
528,Renee Browning,Mouse,681.31,2023-10-19
529,Chase Lee,Headphones,76.56,2024-08-20
530,Debra Sanders,Tablet,368.53,2024-04-30
531,Karl Branch,Smartphone,609.04,2024-01-14
532,Sarah Valdez,Tablet,378.29,2025-04-20
533,Anna Gray,Mouse,146.32,2024-09-09
